customerCode,customerName,customerNotes
DAIS4,Diesel and Industrial Engine Spares,10% discount
DANB2,Danbray Pty Ltd,
DASY4,Data Audit Systems,This acccount has changed to COD from now on.
DCCO2,Western Plains Regional,
DCLM0,Data Collection Ltd,
DCRO8,District Council of Robes,
DDIL2,Ddi Labs Pty Ltd,
DEBE4,Debetrek,
DEBE4U,Debetrek,Sunset Lifestyle
DECO6,Diesel Engine Company,
DEDE5,Department Of Defence,
DEEA4,DesignEars Pty Ltd,
DEEL0,Delta Electrics,
DEEW5,Department for Environment and Water,
DEEW5A,Department for Environment and Water,
DEMA7,Deman Pty Ltd,
DEMO3,Deutz Australia Pty.Ltd.,40% Discount
DENI2,Deni Sand and Soil/Civil Construction,
DEPWS8,"Dept.Environment, Parks & Water Security",
DESE2,diesel engine & spares,
DESP4,Diesel Engine Service,Onseller discount 15%
DESQ4,Department of Environment & Science,
DETE3,Decon Technologies,
DETG2,Defcon Technologies Group P/L,
DETP2,Design To Production,
DEW8C,Department Environment and Water,
DEWA8A,Dept. of Environment & Water,
DEWA8B,Department for Environment & Water,
DEWNR8,Dept. for Environment & Water,
DEWSA5,Blackhill Conservation Park,
DFOC8A,DEKA AUST MGT ONE PTY LTD,
DFSY4,Dayshelf Fire Systems,
DGMS2,Diesel Gas & Marine Systems Pl,
DIAG0,Diesel Agencies (Wa Empson Limited T/As),
DIAI0,Darwin International Airport,
DIAI2,Digital Air Control Pty Ltd,
DICA2,Monitor Industries Pty Ltd,
DICT4,Diesel Care Toowoomba,10% Trade discount
DIDR2,Diesel Drive Pty Ltd,Discount 35%
DIFA0,Dingdings Farms Sdn. Bhd,
DIIN0,Diesel Injection,
DIPA6,Digsilent Pacific,
DISTEC,Discovery Technology Pty Ltd,
DIVO3,Bluefish Technologies P/L,
DIVO3U,Bluefish Technologies P/L,
DNOW4,Maclean International Group(Australia) Pty Ltd,
DOWNER,Downer EDI Rail,
DPDI2,Diesel Parts Direct,No discount
DPSE4,Diesel Parts & Service P/L,35% discount
DRBO2,Dril-Bourn,
DREN3,Dressage Engineering,
DRTE4,Drill Techniques Service Pty Ltd,
DSCO2A,Dungog Shire Council,
DSDS3,D And S Diesel Services,
DSSC8,Canberra Outlet Centre,
DUCI4,Durack Civil Pty Ltd,
DUPH2,Dubbo Powerhouse Pty Ltd,
DURC8,Dubbo Regional Council,
EAAU4,use S00398,
EACI2,Earth Civil,
EACT2,Environment Planning & Sustainable Development,
EAEX4,Eagle Exports Australia P/L,15% Onseller discount
ECGE3,East Coast Generators,
ECK2010,Eckersleys Darlinghurst,
ECK2150,Eckersleys Parramatta,
ECK2154,Eckersley's Castle Hill,
ECK2560,Eckersley's Macarthur Square,
ECK2606,Eckersleys Phillip,
ECK2650,Eckersley's Wagga,
ECK3181,Eckersleys Prahran,
ECK4000,Eckersleys Brisbane CBD,
ECK4030,Eckersley Lutwyche,
